Municipality,District,Population
Alta,Finnmark - Finnmárku,20446
Loppa,Finnmark - Finnmárku,968
Hasvik,Finnmark - Finnmárku,1037
Kvalsund,Finnmark - Finnmárku,1027
Måsøy,Finnmark - Finnmárku,1204
Nordkapp,Finnmark - Finnmárku,3291
Porsanger - Porsángu - Porsanki,Finnmark - Finnmárku,3971
Kárásjohka - Karasjok,Finnmark - Finnmárku,2696
Lebesby,Finnmark - Finnmárku,1330
Gamvik,Finnmark - Finnmárku,1137
Berlevåg,Finnmark - Finnmárku,991
Deatnu - Tana,Finnmark - Finnmárku,2911
Unjárga - Nesseby,Finnmark - Finnmárku,951
Båtsfjord,Finnmark - Finnmárku,2267
Sør-Varanger,Finnmark - Finnmárku,10199
